Complaint ID,Customer ID,Complaint Text,Category,,,,,
50,CUST1621,Refund claim was closed without informing me.,Refund Issues,,,,,
51,CUST8925,My luggage was loaded onto the wrong flight and delivered late.,Baggage Issues,,,,,
52,CUST8814,The seat was broken and no assistance was provided to fix it.,In-flight Experience,,,,,
53,CUST2941,Customer care did not bother to resolve my issue even after multiple calls.,Customer Service,,,,,
54,CUST4689,My bag handle was broken and no assistance was provided.,Baggage Issues,,,,,
55,CUST2828,The Air India customer support was very rude and disconnected my call.,Customer Service,,,,,
56,CUST2436,Flight delay updates were not announced at the airport.,Flight Delay,,,,,
57,CUST2836,The customer support executive kept transferring my call without resolution.,Customer Service,,,,,
58,CUST4920,The customer support executive kept transferring my call without resolution.,Customer Service,,,,,
59,CUST6816,"Even after cancellation, refund status shows as 'in process' for two months.",Refund Issues,,,,,
60,CUST2328,I couldn’t complete my booking due to payment gateway issues on the website.,Ticket Booking Problems,,,,,
61,CUST4464,I applied for a refund but it was rejected without valid reasons.,Refund Issues,,,,,
62,CUST6725,I didn’t get my baggage on time and no one at the airport helped me properly.,Baggage Issues,,,,,
63,CUST7022,The representative I spoke to was not able to help and was very impatient.,Customer Service,,,,,
64,CUST7924,Refund claim was closed without informing me.,Refund Issues,,,,,
65,CUST5358,The ticket booking site was extremely slow and kept logging me out.,Ticket Booking Problems,,,,,
66,CUST2616,Cabin crew were unprofessional and inattentive during the entire journey.,In-flight Experience,,,,,
67,CUST5362,Payment gateway failed multiple times while booking international tickets.,Ticket Booking Problems,,,,,
68,CUST4216,Customer service kept ignoring my follow-up emails.,Customer Service,,,,,
69,CUST9172,Poor in-flight service and dirty seating area during the Air India flight.,In-flight Experience,,,,,
70,CUST7929,Unable to book tickets as the website crashes every time I make a payment.,Ticket Booking Problems,,,,,
71,CUST9600,The Air India app keeps freezing while booking tickets.,Ticket Booking Problems,,,,,
72,CUST6107,"My baggage arrived on the next day, causing huge inconvenience.",Baggage Issues,,,,,
73,CUST8165,The customer support executive kept transferring my call without resolution.,Customer Service,,,,,
74,CUST4663,The baggage was returned but items inside were missing.,Baggage Issues,,,,,
75,CUST1478,The in-flight screen was not working for the entire journey.,In-flight Experience,,,,,
76,CUST5291,Flight was delayed repeatedly and no meals were provided.,Flight Delay,,,,,
77,CUST6179,The baggage handling was careless and my bag was broken.,Baggage Issues,,,,,
78,CUST5686,Unable to book tickets as the website crashes every time I make a payment.,Ticket Booking Problems,,,,,
79,CUST3049,Baggage was missing and I got it after 48 hours without compensation.,Baggage Issues,,,,,
80,CUST9495,Baggage was missing and I got it after 48 hours without compensation.,Baggage Issues,,,,,
81,CUST7562,Cabin crew were inattentive and food trays were not collected on time.,In-flight Experience,,,,,
82,CUST7049,"Refund was partially processed without explanation, no response to emails.",Refund Issues,,,,,
83,CUST8254,Customer service kept ignoring my follow-up emails.,Customer Service,,,,,
84,CUST2683,I applied for a refund but it was rejected without valid reasons.,Refund Issues,,,,,
85,CUST1094,I was unable to choose meal preferences during booking.,Ticket Booking Problems,,,,,
86,CUST4004,Cabin crew were unprofessional and inattentive during the entire journey.,In-flight Experience,,,,,
87,CUST9185,Flight was delayed repeatedly and no meals were provided.,Flight Delay,,,,,
88,CUST6290,My bag handle was broken and no assistance was provided.,Baggage Issues,,,,,
89,CUST8568,Customer care kept giving conflicting answers regarding my complaint.,Customer Service,,,,,
90,CUST4847,Delayed flight caused me to miss an important meeting.,Flight Delay,,,,,
91,CUST8903,The food served was stale and the entertainment system was not working.,In-flight Experience,,,,,
92,CUST4037,"I was promised a refund within 7 days, but it has been a month with no update.",Refund Issues,,,,,
93,CUST4732,The Air India customer support was very rude and disconnected my call.,Customer Service,,,,,
94,CUST2000,"I was promised a refund within 7 days, but it has been a month with no update.",Refund Issues,,,,,
95,CUST6309,Customer care did not bother to resolve my issue even after multiple calls.,Customer Service,,,,,
96,CUST4226,Baggage was missing and I got it after 48 hours without compensation.,Baggage Issues,,,,,
97,CUST2092,The in-flight screen was not working for the entire journey.,In-flight Experience,,,,,
98,CUST2903,Couldn’t select seats while booking online through Air India’s portal.,Ticket Booking Problems,,,,,
99,CUST7639,Poor in-flight service and dirty seating area during the Air India flight.,In-flight Experience,,,,,
100,CUST2321,The Air India customer support was very rude and disconnected my call.,Customer Service,,,,,
101,CUST3419,Couldn’t select seats while booking online through Air India’s portal.,Ticket Booking Problems,,,,,
102,CUST2980,The in-flight screen was not working for the entire journey.,In-flight Experience,,,,,
103,CUST7950,Cabin crew were unprofessional and inattentive during the entire journey.,In-flight Experience,,,,,
104,CUST6715,"Refund was partially processed without explanation, no response to emails.",Refund Issues,,,,,
105,CUST4735,My bag handle was broken and no assistance was provided.,Baggage Issues,,,,,
106,CUST7534,The food served was stale and the entertainment system was not working.,In-flight Experience,,,,,
107,CUST9303,Cabin was dirty and there was no blanket on a long flight.,In-flight Experience,,,,,
108,CUST5226,Last-minute delay caused me to miss my connecting flight.,Flight Delay,,,,,
109,CUST4852,"Even after cancellation, refund status shows as 'in process' for two months.",Refund Issues,,,,,
110,CUST8264,The in-flight screen was not working for the entire journey.,In-flight Experience,,,,,
111,CUST4957,My Air India flight got delayed by 4 hours without any prior notice.,Flight Delay,,,,,
112,CUST5468,Customer care did not bother to resolve my issue even after multiple calls.,Customer Service,,,,,
113,CUST4997,The Air India customer support was very rude and disconnected my call.,Customer Service,,,,,
114,CUST9669,I couldn’t complete my booking due to payment gateway issues on the website.,Ticket Booking Problems,,,,,
115,CUST1088,Flight was delayed after boarding and we were kept waiting in the plane.,Flight Delay,,,,,
116,CUST6553,Flight was delayed after boarding and we were kept waiting in the plane.,Flight Delay,,,,,
117,CUST6691,Flight was delayed repeatedly and no meals were provided.,Flight Delay,,,,,
118,CUST2793,I cancelled my Air India ticket but refund is still pending after 20 days.,Refund Issues,,,,,
119,CUST5325,Refund claim was closed without informing me.,Refund Issues,,,,,
120,CUST7094,The Air India app keeps freezing while booking tickets.,Ticket Booking Problems,,,,,
121,CUST1671,My luggage was damaged when I collected it from the Air India belt.,Baggage Issues,,,,,
122,CUST5137,Air India flight was delayed without any reason at the airport.,Flight Delay,,,,,
123,CUST4883,The seat was broken and no assistance was provided to fix it.,In-flight Experience,,,,,
124,CUST8579,Refund claim was closed without informing me.,Refund Issues,,,,,
125,CUST6830,Baggage was missing and I got it after 48 hours without compensation.,Baggage Issues,,,,,
126,CUST2370,Cabin was dirty and there was no blanket on a long flight.,In-flight Experience,,,,,
127,CUST9028,My Air India flight got delayed by 4 hours without any prior notice.,Flight Delay,,,,,
128,CUST1929,Flight delay updates were not announced at the airport.,Flight Delay,,,,,
129,CUST6467,I cancelled my Air India ticket but refund is still pending after 20 days.,Refund Issues,,,,,
130,CUST3998,The baggage handling was careless and my bag was broken.,Baggage Issues,,,,,
131,CUST5272,The customer support executive kept transferring my call without resolution.,Customer Service,,,,,
132,CUST6573,Delayed flight caused me to miss an important meeting.,Flight Delay,,,,,
133,CUST6229,Couldn’t select seats while booking online through Air India’s portal.,Ticket Booking Problems,,,,,
134,CUST8019,I didn’t get my baggage on time and no one at the airport helped me properly.,Baggage Issues,,,,,
135,CUST9198,Air India flight was delayed without any reason at the airport.,Flight Delay,,,,,
136,CUST2689,Couldn’t select seats while booking online through Air India’s portal.,Ticket Booking Problems,,,,,
137,CUST7504,The seat was broken and no assistance was provided to fix it.,In-flight Experience,,,,,
138,CUST3921,The customer support executive kept transferring my call without resolution.,Customer Service,,,,,
139,CUST2059,Refund claim was closed without informing me.,Refund Issues,,,,,
140,CUST7674,I couldn’t complete my booking due to payment gateway issues on the website.,Ticket Booking Problems,,,,,
141,CUST3183,Luggage tags were misplaced causing delay in baggage retrieval.,Baggage Issues,,,,,
142,CUST5891,Cabin was dirty and there was no blanket on a long flight.,In-flight Experience,,,,,
143,CUST9280,The food served was stale and the entertainment system was not working.,In-flight Experience,,,,,
144,CUST8464,Customer care made me wait on hold for 40 minutes and disconnected.,Customer Service,,,,,
145,CUST6848,Refund claim was closed without informing me.,Refund Issues,,,,,
146,CUST3147,"I was promised a refund within 7 days, but it has been a month with no update.",Refund Issues,,,,,
147,CUST7527,The customer support executive kept transferring my call without resolution.,Customer Service,,,,,
148,CUST3351,Flight was delayed after boarding and we were kept waiting in the plane.,Flight Delay,,,,,
149,CUST8344,"Refund was partially processed without explanation, no response to emails.",Refund Issues,,,,,
150,CUST9046,I was unable to choose meal preferences during booking.,Ticket Booking Problems,,,,,
151,CUST8199,The ticket booking site was extremely slow and kept logging me out.,Ticket Booking Problems,,,,,
152,CUST2685,"I was promised a refund within 7 days, but it has been a month with no update.",Refund Issues,,,,,
153,CUST9083,Refund was promised on call but never processed.,Refund Issues,,,,,
154,CUST6101,Payment got deducted but ticket confirmation not received.,Ticket Booking Problems,,,,,
155,CUST4516,I was hung up on twice by customer service agents.,Customer Service,,,,,
156,CUST9856,"I was promised a refund within 7 days, but it has been a month with no update.",Refund Issues,,,,,
157,CUST6710,Flight was delayed repeatedly and no meals were provided.,Flight Delay,,,,,
158,CUST1712,The washrooms were dirty and not maintained during the flight.,In-flight Experience,,,,,
159,CUST2919,Cabin was dirty and there was no blanket on a long flight.,In-flight Experience,,,,,
160,CUST9438,I applied for a refund but it was rejected without valid reasons.,Refund Issues,,,,,
161,CUST2036,My flight was rescheduled at the last moment without informing me.,Flight Delay,,,,,
162,CUST5460,The Air India customer support was very rude and disconnected my call.,Customer Service,,,,,
163,CUST7032,Unable to book tickets as the website crashes every time I make a payment.,Ticket Booking Problems,,,,,
164,CUST7458,Couldn’t select seats while booking online through Air India’s portal.,Ticket Booking Problems,,,,,
165,CUST1427,My flight was rescheduled at the last moment without informing me.,Flight Delay,,,,,
166,CUST3346,I was unable to choose meal preferences during booking.,Ticket Booking Problems,,,,,
167,CUST6946,The ticket booking site was extremely slow and kept logging me out.,Ticket Booking Problems,,,,,
168,CUST8571,"Refund was partially processed without explanation, no response to emails.",Refund Issues,,,,,
169,CUST4792,I didn’t get my baggage on time and no one at the airport helped me properly.,Baggage Issues,,,,,
170,CUST1604,My flight was rescheduled at the last moment without informing me.,Flight Delay,,,,,
171,CUST3106,Customer care did not bother to resolve my issue even after multiple calls.,Customer Service,,,,,
172,CUST8364,"Even after cancellation, refund status shows as 'in process' for two months.",Refund Issues,,,,,
173,CUST6973,Delayed flight caused me to miss an important meeting.,Flight Delay,,,,,
174,CUST4557,Customer service kept ignoring my follow-up emails.,Customer Service,,,,,
175,CUST4365,Payment got deducted but ticket confirmation not received.,Ticket Booking Problems,,,,,
176,CUST3284,Flight was delayed after boarding and we were kept waiting in the plane.,Flight Delay,,,,,
177,CUST6098,Flight delay updates were not announced at the airport.,Flight Delay,,,,,
178,CUST3583,The seat was broken and no assistance was provided to fix it.,In-flight Experience,,,,,
179,CUST6947,"I was promised a refund within 7 days, but it has been a month with no update.",Refund Issues,,,,,
180,CUST9196,"I was promised a refund within 7 days, but it has been a month with no update.",Refund Issues,,,,,
181,CUST3391,"My baggage arrived on the next day, causing huge inconvenience.",Baggage Issues,,,,,
182,CUST9762,Air India flight was delayed without any reason at the airport.,Flight Delay,,,,,
183,CUST5471,My Air India flight got delayed by 4 hours without any prior notice.,Flight Delay,,,,,
184,CUST3268,The representative I spoke to was not able to help and was very impatient.,Customer Service,,,,,
185,CUST2111,I was hung up on twice by customer service agents.,Customer Service,,,,,
186,CUST1505,The in-flight screen was not working for the entire journey.,In-flight Experience,,,,,
187,CUST4778,I didn’t get my baggage on time and no one at the airport helped me properly.,Baggage Issues,,,,,
188,CUST6384,Refund was promised on call but never processed.,Refund Issues,,,,,
189,CUST5391,Poor in-flight service and dirty seating area during the Air India flight.,In-flight Experience,,,,,
190,CUST5524,Cabin crew were unprofessional and inattentive during the entire journey.,In-flight Experience,,,,,
191,CUST3019,The in-flight screen was not working for the entire journey.,In-flight Experience,,,,,
192,CUST3644,Flight was delayed after boarding and we were kept waiting in the plane.,Flight Delay,,,,,
193,CUST2842,My Air India flight got delayed by 4 hours without any prior notice.,Flight Delay,,,,,
194,CUST5465,I cancelled my Air India ticket but refund is still pending after 20 days.,Refund Issues,,,,,
195,CUST6081,The in-flight screen was not working for the entire journey.,In-flight Experience,,,,,
196,CUST1397,The baggage was returned but items inside were missing.,Baggage Issues,,,,,
197,CUST2184,Last-minute delay caused me to miss my connecting flight.,Flight Delay,,,,,
198,CUST2868,The baggage was returned but items inside were missing.,Baggage Issues,,,,,
199,CUST9997,Last-minute delay caused me to miss my connecting flight.,Flight Delay,,,,,
200,CUST3846,Cabin crew were inattentive and food trays were not collected on time.,In-flight Experience,,,,,
201,CUST9762,Delayed flight caused me to miss an important meeting.,Flight Delay,,,,,
202,CUST5813,I was unable to choose meal preferences during booking.,Ticket Booking Problems,,,,,
203,CUST6197,Payment got deducted but ticket confirmation not received.,Ticket Booking Problems,,,,,
204,CUST7411,I was unable to choose meal preferences during booking.,Ticket Booking Problems,,,,,
205,CUST4502,The in-flight screen was not working for the entire journey.,In-flight Experience,,,,,
206,CUST4439,My luggage was damaged when I collected it from the Air India belt.,Baggage Issues,,,,,
207,CUST5496,The ticket booking site was extremely slow and kept logging me out.,Ticket Booking Problems,,,,,
208,CUST1377,Cabin crew were unprofessional and inattentive during the entire journey.,In-flight Experience,,,,,
209,CUST4375,I didn’t get my baggage on time and no one at the airport helped me properly.,Baggage Issues,,,,,
210,CUST1857,Flight was delayed repeatedly and no meals were provided.,Flight Delay,,,,,
211,CUST7895,Cabin was dirty and there was no blanket on a long flight.,In-flight Experience,,,,,
212,CUST9075,Customer care made me wait on hold for 40 minutes and disconnected.,Customer Service,,,,,
213,CUST2250,Payment got deducted but ticket confirmation not received.,Ticket Booking Problems,,,,,
214,CUST9631,Refund was promised on call but never processed.,Refund Issues,,,,,
215,CUST9992,Flight delay updates were not announced at the airport.,Flight Delay,,,,,
216,CUST6516,The customer support executive kept transferring my call without resolution.,Customer Service,,,,,
217,CUST7867,Payment got deducted but ticket confirmation not received.,Ticket Booking Problems,,,,,
218,CUST7894,Cabin crew were inattentive and food trays were not collected on time.,In-flight Experience,,,,,
219,CUST2118,Unable to book tickets as the website crashes every time I make a payment.,Ticket Booking Problems,,,,,
220,CUST5673,The in-flight screen was not working for the entire journey.,In-flight Experience,,,,,
221,CUST3019,"I was promised a refund within 7 days, but it has been a month with no update.",Refund Issues,,,,,
222,CUST5505,I cancelled my Air India ticket but refund is still pending after 20 days.,Refund Issues,,,,,
223,CUST5459,The seat was broken and no assistance was provided to fix it.,In-flight Experience,,,,,
224,CUST7040,My flight was rescheduled at the last moment without informing me.,Flight Delay,,,,,
225,CUST8073,Cabin was dirty and there was no blanket on a long flight.,In-flight Experience,,,,,
226,CUST4643,Flight was delayed repeatedly and no meals were provided.,Flight Delay,,,,,
227,CUST7126,The in-flight screen was not working for the entire journey.,In-flight Experience,,,,,
228,CUST9594,I couldn’t complete my booking due to payment gateway issues on the website.,Ticket Booking Problems,,,,,
229,CUST1070,Refund claim was closed without informing me.,Refund Issues,,,,,
230,CUST1980,"I was promised a refund within 7 days, but it has been a month with no update.",Refund Issues,,,,,
231,CUST9725,Cabin crew were inattentive and food trays were not collected on time.,In-flight Experience,,,,,
232,CUST8799,The Air India customer support was very rude and disconnected my call.,Customer Service,,,,,
233,CUST3903,The washrooms were dirty and not maintained during the flight.,In-flight Experience,,,,,
234,CUST2671,My bag handle was broken and no assistance was provided.,Baggage Issues,,,,,
235,CUST3952,Flight delay updates were not announced at the airport.,Flight Delay,,,,,
236,CUST4240,Unable to book tickets as the website crashes every time I make a payment.,Ticket Booking Problems,,,,,
237,CUST8695,Customer care did not bother to resolve my issue even after multiple calls.,Customer Service,,,,,
238,CUST9285,The food served was stale and the entertainment system was not working.,In-flight Experience,,,,,
239,CUST8343,"Even after cancellation, refund status shows as 'in process' for two months.",Refund Issues,,,,,
240,CUST5352,The food served was stale and the entertainment system was not working.,In-flight Experience,,,,,
241,CUST7490,The representative I spoke to was not able to help and was very impatient.,Customer Service,,,,,
242,CUST3580,Delayed flight caused me to miss an important meeting.,Flight Delay,,,,,
243,CUST1725,"I was promised a refund within 7 days, but it has been a month with no update.",Refund Issues,,,,,
244,CUST6946,Payment gateway failed multiple times while booking international tickets.,Ticket Booking Problems,,,,,
245,CUST5866,"My baggage arrived on the next day, causing huge inconvenience.",Baggage Issues,,,,,
246,CUST7676,The in-flight screen was not working for the entire journey.,In-flight Experience,,,,,
247,CUST2182,The baggage handling was careless and my bag was broken.,Baggage Issues,,,,,
248,CUST7596,The baggage handling was careless and my bag was broken.,Baggage Issues,,,,,
249,CUST7806,I couldn’t complete my booking due to payment gateway issues on the website.,Ticket Booking Problems,,,,,
250,CUST7043,I was hung up on twice by customer service agents.,Customer Service,,,,,
251,CUST2589,The baggage was returned but items inside were missing.,Baggage Issues,,,,,
252,CUST9583,Couldn’t select seats while booking online through Air India’s portal.,Ticket Booking Problems,,,,,
253,CUST5826,The customer support executive kept transferring my call without resolution.,Customer Service,,,,,
254,CUST2467,My bag handle was broken and no assistance was provided.,Baggage Issues,,,,,
255,CUST1712,"Even after cancellation, refund status shows as 'in process' for two months.",Refund Issues,,,,,
256,CUST9160,The Air India customer support was very rude and disconnected my call.,Customer Service,,,,,
257,CUST4225,Payment got deducted but ticket confirmation not received.,Ticket Booking Problems,,,,,
258,CUST2433,"Even after cancellation, refund status shows as 'in process' for two months.",Refund Issues,,,,,
259,CUST7038,Cabin crew were unprofessional and inattentive during the entire journey.,In-flight Experience,,,,,
260,CUST1668,Last-minute delay caused me to miss my connecting flight.,Flight Delay,,,,,
261,CUST5456,I cancelled my Air India ticket but refund is still pending after 20 days.,Refund Issues,,,,,
262,CUST4484,Poor in-flight service and dirty seating area during the Air India flight.,In-flight Experience,,,,,
263,CUST2528,The baggage was returned but items inside were missing.,Baggage Issues,,,,,
264,CUST5960,The baggage was returned but items inside were missing.,Baggage Issues,,,,,
265,CUST4421,I applied for a refund but it was rejected without valid reasons.,Refund Issues,,,,,
266,CUST5493,Customer care made me wait on hold for 40 minutes and disconnected.,Customer Service,,,,,
267,CUST3501,The baggage handling was careless and my bag was broken.,Baggage Issues,,,,,
268,CUST9214,Delayed flight caused me to miss an important meeting.,Flight Delay,,,,,
269,CUST6349,The customer support executive kept transferring my call without resolution.,Customer Service,,,,,
270,CUST8231,My flight was rescheduled at the last moment without informing me.,Flight Delay,,,,,
271,CUST3843,The washrooms were dirty and not maintained during the flight.,In-flight Experience,,,,,
272,CUST7709,Cabin was dirty and there was no blanket on a long flight.,In-flight Experience,,,,,
273,CUST8437,I was unable to choose meal preferences during booking.,Ticket Booking Problems,,,,,
274,CUST3524,Luggage tags were misplaced causing delay in baggage retrieval.,Baggage Issues,,,,,
275,CUST8133,Customer care made me wait on hold for 40 minutes and disconnected.,Customer Service,,,,,
276,CUST1571,Baggage was missing and I got it after 48 hours without compensation.,Baggage Issues,,,,,
277,CUST2060,The ticket booking site was extremely slow and kept logging me out.,Ticket Booking Problems,,,,,
278,CUST8506,The baggage handling was careless and my bag was broken.,Baggage Issues,,,,,
279,CUST4803,I didn’t get my baggage on time and no one at the airport helped me properly.,Baggage Issues,,,,,
280,CUST2933,The customer support executive kept transferring my call without resolution.,Customer Service,,,,,
281,CUST3210,Last-minute delay caused me to miss my connecting flight.,Flight Delay,,,,,
282,CUST6317,"I was promised a refund within 7 days, but it has been a month with no update.",Refund Issues,,,,,
283,CUST9599,I received partial refund without any breakdown of charges.,Refund Issues,,,,,
284,CUST6495,Flight was delayed after boarding and we were kept waiting in the plane.,Flight Delay,,,,,
285,CUST2037,I couldn’t complete my booking due to payment gateway issues on the website.,Ticket Booking Problems,,,,,
286,CUST7064,Payment got deducted but ticket confirmation not received.,Ticket Booking Problems,,,,,
287,CUST5832,The seat was broken and no assistance was provided to fix it.,In-flight Experience,,,,,
288,CUST3139,"I was promised a refund within 7 days, but it has been a month with no update.",Refund Issues,,,,,
289,CUST4633,My luggage was damaged when I collected it from the Air India belt.,Baggage Issues,,,,,
290,CUST9208,The food served was stale and the entertainment system was not working.,In-flight Experience,,,,,
291,CUST4953,Last-minute delay caused me to miss my connecting flight.,Flight Delay,,,,,
292,CUST9228,The baggage handling was careless and my bag was broken.,Baggage Issues,,,,,
293,CUST9578,The in-flight screen was not working for the entire journey.,In-flight Experience,,,,,
294,CUST8302,"Refund was partially processed without explanation, no response to emails.",Refund Issues,,,,,
295,CUST7618,Unable to book tickets as the website crashes every time I make a payment.,Ticket Booking Problems,,,,,
296,CUST5486,The representative I spoke to was not able to help and was very impatient.,Customer Service,,,,,
297,CUST6242,Customer care did not bother to resolve my issue even after multiple calls.,Customer Service,,,,,
298,CUST8409,Poor in-flight service and dirty seating area during the Air India flight.,In-flight Experience,,,,,
299,CUST8124,The customer support executive kept transferring my call without resolution.,Customer Service,,,,,
300,CUST8610,The Air India app keeps freezing while booking tickets.,Ticket Booking Problems,,,,,
301,CUST8315,The in-flight screen was not working for the entire journey.,In-flight Experience,,,,,
302,CUST9591,The baggage was returned but items inside were missing.,Baggage Issues,,,,,
303,CUST5854,I applied for a refund but it was rejected without valid reasons.,Refund Issues,,,,,
304,CUST2201,Couldn’t select seats while booking online through Air India’s portal.,Ticket Booking Problems,,,,,
305,CUST1621,Payment got deducted but ticket confirmation not received.,Ticket Booking Problems,,,,,
306,CUST3891,The Air India customer support was very rude and disconnected my call.,Customer Service,,,,,
307,CUST8895,The in-flight screen was not working for the entire journey.,In-flight Experience,,,,,
308,CUST6620,Cabin was dirty and there was no blanket on a long flight.,In-flight Experience,,,,,
309,CUST8468,Customer care did not bother to resolve my issue even after multiple calls.,Customer Service,,,,,
310,CUST5162,I received partial refund without any breakdown of charges.,Refund Issues,,,,,
311,CUST5338,"My baggage arrived on the next day, causing huge inconvenience.",Baggage Issues,,,,,
312,CUST4343,The baggage handling was careless and my bag was broken.,Baggage Issues,,,,,
313,CUST4577,The ticket booking site was extremely slow and kept logging me out.,Ticket Booking Problems,,,,,
314,CUST7171,Luggage tags were misplaced causing delay in baggage retrieval.,Baggage Issues,,,,,
315,CUST3243,Flight was delayed after boarding and we were kept waiting in the plane.,Flight Delay,,,,,
316,CUST7972,Delayed flight caused me to miss an important meeting.,Flight Delay,,,,,
317,CUST7239,Cabin crew were unprofessional and inattentive during the entire journey.,In-flight Experience,,,,,
318,CUST9182,Customer care did not bother to resolve my issue even after multiple calls.,Customer Service,,,,,
319,CUST3990,Unable to book tickets as the website crashes every time I make a payment.,Ticket Booking Problems,,,,,
320,CUST8856,"I was promised a refund within 7 days, but it has been a month with no update.",Refund Issues,,,,,
321,CUST7118,The food served was stale and the entertainment system was not working.,In-flight Experience,,,,,
322,CUST6697,The baggage was returned but items inside were missing.,Baggage Issues,,,,,
323,CUST8896,Customer care did not bother to resolve my issue even after multiple calls.,Customer Service,,,,,
324,CUST4236,The baggage was returned but items inside were missing.,Baggage Issues,,,,,
325,CUST6428,The ticket booking site was extremely slow and kept logging me out.,Ticket Booking Problems,,,,,
326,CUST9059,Cabin crew were unprofessional and inattentive during the entire journey.,In-flight Experience,,,,,
327,CUST9085,Cabin crew were inattentive and food trays were not collected on time.,In-flight Experience,,,,,
328,CUST5713,My flight was rescheduled at the last moment without informing me.,Flight Delay,,,,,
329,CUST8605,I was hung up on twice by customer service agents.,Customer Service,,,,,
330,CUST1247,Payment got deducted but ticket confirmation not received.,Ticket Booking Problems,,,,,
331,CUST8910,Customer care did not bother to resolve my issue even after multiple calls.,Customer Service,,,,,
332,CUST3560,"Refund was partially processed without explanation, no response to emails.",Refund Issues,,,,,
333,CUST9150,Poor in-flight service and dirty seating area during the Air India flight.,In-flight Experience,,,,,
